start
Vertice: 26216, Nivel: 174, Pai: 144
Vertice: 31216, Nivel: 174, Pai: 144
Vertice: 8953, Nivel: 174, Pai: 144
Vertice: 17781, Nivel: 174, Pai: 144
Vertice: 4548, Nivel: 174, Pai: 144
Vertice: 55, Nivel: 175, Pai: 4548
Vertice: 5549, Nivel: 176, Pai: 55
Vertice: 5920, Nivel: 176, Pai: 55
Vertice: 64, Nivel: 177, Pai: 5920
Vertice: 5898, Nivel: 178, Pai: 64
Vertice: 5251, Nivel: 179, Pai: 5898
Vertice: 6326, Nivel: 178, Pai: 64
Vertice: 6425, Nivel: 178, Pai: 64
Vertice: 8681, Nivel: 178, Pai: 64
Vertice: 9378, Nivel: 178, Pai: 64
Vertice: 9002, Nivel: 178, Pai: 64
Vertice: 8988, Nivel: 178, Pai: 64
Vertice: 9443, Nivel: 178, Pai: 64
Vertice: 10214, Nivel: 178, Pai: 64
Vertice: 10667, Nivel: 178, Pai: 64
Vertice: 5961, Nivel: 178, Pai: 64
Vertice: 11529, Nivel: 178, Pai: 64
Vertice: 11528, Nivel: 178, Pai: 64
Vertice: 11482, Nivel: 178, Pai: 64
Vertice: 5246, Nivel: 178, Pai: 64
Vertice: 5871, Nivel: 178, Pai: 64
Vertice: 7347, Nivel: 178, Pai: 64
Vertice: 19679, Nivel: 178, Pai: 64
Vertice: 8926, Nivel: 178, Pai: 64
Vertice: 9601, Nivel: 178, Pai: 64
Vertice: 26028, Nivel: 178, Pai: 64
Vertice: 26009, Nivel: 178, Pai: 64
Vertice: 28385, Nivel: 178, Pai: 64
Vertice: 28374, Nivel: 178, Pai: 64
Vertice: 28366, Nivel: 178, Pai: 64
Vertice: 28663, Nivel: 178, Pai: 64
Vertice: 11374, Nivel: 178, Pai: 64
Vertice: 28666, Nivel: 178, Pai: 64
Vertice: 28247, Nivel: 178, Pai: 64
Vertice: 14312, Nivel: 178, Pai: 64
Vertice: 3290, Nivel: 178, Pai: 64
Vertice: 15625, Nivel: 179, Pai: 3290
Vertice: 24100, Nivel: 179, Pai: 3290
Vertice: 14404, Nivel: 178, Pai: 64
Vertice: 14414, Nivel: 178, Pai: 64
Vertice: 5875, Nivel: 178, Pai: 64
Vertice: 369, Nivel: 179, Pai: 5875
Vertice: 188, Nivel: 180, Pai: 369
Vertice: 84, Nivel: 181, Pai: 188
